title,journal,year,keywords
Cure Performance and Effectiveness of Portable Smart Healthcare Wear System Using Electro-conductive Textiles,Procedia Manufacturing,2015,"Wearable healthcare device, Smart healthcare wear system, Cure performance and effectiveness"
Software Bug Prediction Prototype Using Bayesian Network Classifier: A Comprehensive Model,Procedia Computer Science,2018,"Bayesian network, bug prediction, classification techniques"
Evaluation of user authentication methods in the gadget-free world,Pervasive and Mobile Computing,2017,"User authentication, Security, Privacy, Gadget-free, Evaluation"
I(Re)2-WiNoC: Exploring scalable wireless on-chip micronetworks for heterogeneous embedded many-core SoCs,Digital Communications and Networks,2015,"Network-on-Chip, RF interconnect, Topology design, Routing algorithm, Microarchitecture design"
Personalising the User Experience of a Mobile Health Application towards Patient Engagement,Procedia Computer Science,2018,"mHealth, stuttering, self-management, self-reflection, personalisation, HCI, user experience, mobile, Speech and Language Therapy"
ORACON: An adaptive model for context prediction,Expert Systems with Applications,2016,"Context awareness, Context prediction, Prediction algorithms"
Dynamic road lane management study: A Smart City application,Transportation Research Part E: Logistics and Transportation Review,2016,"Smart City, Ambient intelligence, Ubiquitous computing, Data vitalization, Location-Based Services, Mobile internet, Internet of Things, Dynamic lane allocation, Simulations, Acceptability studies"
Energy-efficient algorithms for data retrieval from indexed parallel broadcast channels,Sustainable Computing: Informatics and Systems,2016,"Algorithm/protocol design and analysis, Query processing, Retrieval models, Ubiquitous computing, Energy management, Broadcasting"
The relationship between personality traits and susceptibility to social influence,Computers in Human Behavior,2019,"Persuasive strategy, Personality, Big five, Social influence, Social proof, Social learning, Social comparison, Neuroticism, Openness, Conscientiousness"
Intelligent System for Medication Management in Residential Environments,IFAC-PapersOnLine,2016,"Medication management, medication adherence, intelligent systems, healthcare"
"Human augmentation: Past, present and future",International Journal of Human-Computer Studies,2019,"Human augmentation, Augmented reality, Wearable computing, Multimodal interaction, Crossmodal interaction, Augmented senses, Augmented action, Augmented cognition, Interaction paradigms"
MobiHealth: a System to Improve Medication Adherence in Hypertensive Patients,Procedia Computer Science,2018,"Medication Adherence, Ambience Intelligence, Smart Cabinet, Machine Learning"
Uasisi: a modular and adaptable wearable system to assist the visually impaired,Procedia Computer Science,2019,"wearable computing, assistive technology, WBAN"
Analyzing ant colony optimization based routing protocol against the hole problem for enhancing user’s connectivity experience,Computers in Human Behavior,2015,"Autonomous, Energy distribution, Fault tolerant, Holes problem, Ubiquitous computing, Wireless Sensor Networks"
Dynamic Source Rate Control for Cache-Based Transport Protocol in Wireless Sensor Networks,Computer Communications,2017,"Cache-aware, Dynamic window, Intermediate caching, Internet of things, Rate control, Wireless sensor networks"
An ontological model to support communications of situation-aware vehicles,Transportation Research Part C: Emerging Technologies,2015,"Context modelling, Dedicated Short Range Communication (DSRC), Intelligent Transport Systems (ITS), Ontology"
Employee’s ubiquitous learning engagement: Impact of innovativeness-oriented learning system design factors and the mediating role of imagery,Telematics and Informatics,2019,"Learning engagement, Domain-specific innovativeness, Interface design, Imagery, Ubiquitous learning, Adult learning"
Combining co-citation clustering and text-based analysis to reveal the main development paths of smart cities,Technological Forecasting and Social Change,2019,"Smart city, Sustainable urban development, Urban innovation, Bibliometrics, Co-citation analysis, Content analysis, Development paths"
Recognizing composite daily activities from crowd-labelled social media data,Pervasive and Mobile Computing,2016,"Web mining, Activity recognition, Crowd sensing"
Practical simulation of virtual crowds using points of interest,"Computers, Environment and Urban Systems",2016,"Smart cities, Virtual environments, Pedestrian modelling"
Recognition of Activities of Daily Living from Topic Model,Procedia Computer Science,2016,"Activity discovery, Activity recognition, Pattern Analysis, Probabilistic Latent Semantic Analysis ;"
"Blockchain for 5G-enabled IoT for industrial automation: A systematic review, solutions, and challenges",Mechanical Systems and Signal Processing,2020,"Security, Blockchain, IoT, 5G, Healthcare 4.0, Industrial automation"
Clustering-based and QoS-aware services composition algorithm for ambient intelligence,Information Sciences,2019,"Ambient intelligence, Quality of service, Services composition, QoS constraints, k-means clustering method"
Knowledge-Based Architecture for Recognising Activities of Older People,Procedia Computer Science,2019,"Older People Care, Activity Recognition, ADL, Smart Home, Knowledge-based Architectures, Sensor Event Detection"
Could automated vehicles reduce transport energy?,Energy Procedia,2017,"automated vehicles, global climate change, sustainable transport, transport energy reductions"
Gaze Estimation Technique for Directing Assistive Robotics,Procedia Manufacturing,2015,"Eye tracking, Gaze, Human-Robot Interaction, Neural networks"
Ontology-based feature modeling: An empirical study in changing scenarios,Expert Systems with Applications,2015,"Feature modeling, Ontology, Software product line, Empirical software engineering"
Formulating and managing viable SLAs in cloud computing from a small to medium service provider's viewpoint: A state-of-the-art review,Information Systems,2017,"Cloud computing, SLA monitoring, SLA management, Trusted relationship, Service Level Objectives, Viable SLA life cycle"
How to analyse the workers’ experience in integrated product-process design,Journal of Industrial Information Integration,2018,
An Overview of Security in Internet of Things,Procedia Computer Science,2018,"Authentication, Algorithms, Cryptography, Elliptic curve, Internet of Things, Privacy, Security"
Advanced password based authentication scheme for wireless sensor networks,Journal of Information Security and Applications,2015,"Authentication, Complex networks, Smart card, Wireless sensor networks"
Modelos de negócio para produtos e serviços baseados em internet das coisas: uma revisão da literatura e oportunidades de pesquisas futuras,REGE - Revista de Gestão,2016,"Internet das Coisas, IoT, Modelos de negócio, Inovação, Revisão sistemática da literatura, Internet of Things, IoT, Business models, Innovation, Sistematic literature review"
Posthumanism and Design,"She Ji: The Journal of Design, Economics, and Innovation",2017,"Posthumanism, Nonhuman: Feminist new materialism: Science and technology studies: Socio-technical systems"
Decline in Mobile Application Life Cycle,Procedia Computer Science,2017,"Mobile application, usage continuation, uninstall"
Prediction of stress levels with LSTM and passive mobile sensors,Procedia Computer Science,2019,"recurrent neural networks, LSTM, pattern recognition, mobile sensing, stress"
Digital creativity: Research themes and framework,Computers in Human Behavior,2015,"Digital creativity, Literature review, Intellectual structure, Research themes and framework"
Adoption of dynamic ridesharing system under influence of information on social network,Transportation Research Procedia,2019,"Dynamic ridesharing system, day-to-day behavior adjustment, social network, information propagation"
Some Psychological Responses Measured by a Commercial Electrooculography Sensor and Its Applicability,Procedia Computer Science,2018,"electrooculography, EOG, concentration power, blink rate, blink strength, head posture, e-learning, virtual classrooms"
